input,sensitivity
train.batch_size,0.0012263982879155819
train.optimizer_args.lr,-1.619495372552172e-05
train.lr_scheduler_args.patience,0.03324172307001088
lookup_embedder.dim,0.049948577309381015
lookup_embedder.regularize_args.weighted,0.04760544085034721
entity_embedder.regularize_weight,0.08627274775150338
relation_embedder.regularize_weight,0.00028972365863640993
entity_embedder.dropout,0.04823311151324655
relation_embedder.dropout,0.02908148032641543
job_type=1vsAll,0.0008147194059759141
job_type=KvsAll,-0.0010521081009204772
job_type=negative_sampling,-0.001230166704645402
train.type=1vsAll,0.003875638345140203
train.type=KvsAll,-0.00012522444583314764
train.type=negative_sampling,0.001534031993677083
train.optimizer=Adadelta,0.13910557115016883
train.optimizer=Adam,0.016661360501494804
train.optimizer=AdamW,0.008790051320491796
train.optimizer=Adamax,0.07177061666929378
train.optimizer=RMSprop,0.011819446338861133
train.loss=bce,-0.0027128988891195523
train.loss=kl,0.02896735169210706
train.loss=se,0.005483885663058787
lookup_embedder.initialize=normal_,0.0324592828540698
lookup_embedder.initialize=uniform_,0.0031863068171843634
lookup_embedder.initialize=xavier_normal_,0.005439947838409182
lookup_embedder.initialize=xavier_uniform_,0.07066232814662368
